<key>,<username>,<orgid>,<envid>,<envname>,<targetid>,<targetname>,<domainname>,<urlprotocol>,<urlappendix>,<externalip>,<baseurl>,<appname>,<appid>,<runtimeversion>,<nextruntimeversion>,<clusterprovider>,<anypointhost>,<rtftype>,<javaversion>,<region>
cuj-prod-helm-eks-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,9c8c4f8b-b9d6-418e-982e-cf04e15a00f4,cuj-prod-helm-eks,cuj-prod-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,eks,prod,helm,java8,US
cuj-prod-helm-eks-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,9c8c4f8b-b9d6-418e-982e-cf04e15a00f4,cuj-prod-helm-eks,cuj-prod-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,eks,prod,helm,java17,US
cuj-eu1-helm-eks-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,90a67af7-6c17-4958-8d2a-d61e54fba974,cuj-eu1-helm-eks,cuj-eu1-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,eks,eu1,helm,java8,EU
cuj-eu1-helm-eks-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,90a67af7-6c17-4958-8d2a-d61e54fba974,cuj-eu1-helm-eks,cuj-eu1-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,eks,eu1,helm,java17,EU
cuj-prod-ocp-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,9fe31e88-4176-4466-8ebd-aaf40e8cf64d,cuj-prod-ocp,cuj-prod-ocp.com,https,,20.253.144.59,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,openshift,prod,helm,java8,US
cuj-prod-ocp-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,9fe31e88-4176-4466-8ebd-aaf40e8cf64d,cuj-prod-ocp,cuj-prod-ocp.com,https,,20.253.144.59,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,openshift,prod,helm,java17,US
cuj-eu1-ocp-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,34872407-f29b-4c3b-9665-cba8352a491d,cuj-eu1-ocp,cuj-eu1-ocp.com,https,,20.253.144.59,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,openshift,eu1,helm,java8,EU
cuj-eu1-ocp-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,34872407-f29b-4c3b-9665-cba8352a491d,cuj-eu1-ocp,cuj-eu1-ocp.com,https,,20.253.144.59,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,openshift,eu1,helm,java17,EU
cuj-prod-helm-gke-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,057e2104-6e1e-4cde-b125-866a34e33ba5,cuj-prod-helm-gke,cuj-prod-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,gke,prod,helm,java8,US
cuj-prod-helm-gke-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,057e2104-6e1e-4cde-b125-866a34e33ba5,cuj-prod-helm-gke,cuj-prod-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,gke,prod,helm,java17,US
cuj-eu1-helm-gke-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,1be0cf6f-b63e-45ba-ad53-d41deecf32cb,cuj-eu1-helm-gke,cuj-eu1-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,gke,eu1,helm,java8,EU
cuj-eu1-helm-gke-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,1be0cf6f-b63e-45ba-ad53-d41deecf32cb,cuj-eu1-helm-gke,cuj-eu1-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,gke,eu1,helm,java17,EU
cuj-prod-helm-aks-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,e185651b-863c-40c1-adba-635a1debcbf6,cuj-prod-helm-aks,cuj-prod-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,aks,prod,helm,java8,US
cuj-prod-helm-aks-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,e185651b-863c-40c1-adba-635a1debcbf6,cuj-prod-helm-aks,cuj-prod-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,aks,prod,helm,java17,US
cuj-eu1-helm-aks-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,031090ad-3d5c-44f8-8923-d731275d8cf2,cuj-eu1-helm-aks,cuj-eu1-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,aks,eu1,helm,java8,EU
cuj-eu1-helm-aks-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,031090ad-3d5c-44f8-8923-d731275d8cf2,cuj-eu1-helm-aks,cuj-eu1-helm-aks.com,http,(/|$)(.*),172.212.122.71,https://eu1.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,aks,eu1,helm,java17,EU
