<key>,<username>,<orgid>,<envid>,<envname>,<targetid>,<targetname>,<domainname>,<urlprotocol>,<urlappendix>,<externalip>,<baseurl>,<appname>,<appid>,<runtimeversion>,<nextruntimeversion>,<clusterprovider>,<anypointhost>,<rtftype>,<javaversion>,<region>
cuj-stgx-rtfctl-eks-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,78031724-52c9-406c-b321-97f62131dcec,cuj-stgx-rtfctl-eks,cuj-stgx-rtfctl-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,eks,stgx,rtfctl,java8,STG
cuj-stgx-rtfctl-eks-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,78031724-52c9-406c-b321-97f62131dcec,cuj-stgx-rtfctl-eks,cuj-stgx-rtfctl-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,eks,stgx,rtfctl,java17,STG
cuj-stgx-helm-eks-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,45794358-e7eb-4fdf-bca9-8c2c15fc98d4,cuj-stgx-helm-eks,cuj-stgx-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,eks,stgx,helm,java8,STG
cuj-stgx-helm-eks-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,45794358-e7eb-4fdf-bca9-8c2c15fc98d4,cuj-stgx-helm-eks,cuj-stgx-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,eks,stgx,helm,java17,STG
cuj-stgx-ocp-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,d66a684a-58b8-49e3-b8df-169c51257962,cuj-stgx-ocp,cuj-stgx-ocp.com,https,,20.253.144.59,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,openshift,stgx,helm,java8,STG
cuj-stgx-ocp-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,d66a684a-58b8-49e3-b8df-169c51257962,cuj-stgx-ocp,cuj-stgx-ocp.com,https,,20.253.144.59,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,openshift,stgx,helm,java17,STG
cuj-stgx-rtfctl-gke-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,eb871949-2033-4636-8b2f-063ee9e622d1,cuj-stgx-rtfctl-gke,cuj-stgx-rtfctl-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,gke,stgx,rtfctl,java8,STG
cuj-stgx-rtfctl-gke-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,eb871949-2033-4636-8b2f-063ee9e622d1,cuj-stgx-rtfctl-gke,cuj-stgx-rtfctl-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,gke,stgx,rtfctl,java17,STG
cuj-stgx-helm-gke-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,9357286c-4289-4d90-ac79-5715453f7d1b,cuj-stgx-helm-gke,cuj-stgx-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java8,4.6.2:5-java8,gke,stgx,helm,java8,STG
cuj-stgx-helm-gke-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,9357286c-4289-4d90-ac79-5715453f7d1b,cuj-stgx-helm-gke,cuj-stgx-helm-gke.com,http,(/|$)(.*),35.222.22.178,https://stgx.anypoint.mulesoft.com,cuj-runtime,hellomule,4.6.1:4-java17,4.6.2:5-java17,gke,stgx,helm,java17,STG
