<key>,<username>,<orgid>,<envid>,<envname>,<targetid>,<targetname>,<domainname>,<urlprotocol>,<urlappendix>,<externalip>,<baseurl>,<appname>,<appid>,<runtimeversion>,<nextruntimeversion>,<clusterprovider>,<anypointhost>,<rtftype>,<javaversion>
cuj-stgx-rtfctl-eks-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,78031724-52c9-406c-b321-97f62131dcec,cuj-stgx-rtfctl-eks,cuj-stgx-rtfctl-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eks,stgx,rtfctl,java8
cuj-stgx-rtfctl-eks-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,78031724-52c9-406c-b321-97f62131dcec,cuj-stgx-rtfctl-eks,cuj-stgx-rtfctl-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eks,stgx,rtfctl,java17
cuj-stgx-helm-eks-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,45794358-e7eb-4fdf-bca9-8c2c15fc98d4,cuj-stgx-helm-eks,cuj-stgx-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eks,stgx,helm,java8
cuj-stgx-helm-eks-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,45794358-e7eb-4fdf-bca9-8c2c15fc98d4,cuj-stgx-helm-eks,cuj-stgx-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eks,stgx,helm,java17
cuj-prod-helm-eks-java8,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,9c8c4f8b-b9d6-418e-982e-cf04e15a00f4,cuj-prod-helm-eks,cuj-prod-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eks,prod,helm,java8
cuj-prod-helm-eks-java17,runtime-fabric-automation,dab93205-825e-40a2-9729-171cc733c064,db202c77-2699-406d-9c69-888599b10cc4,sandbox,9c8c4f8b-b9d6-418e-982e-cf04e15a00f4,cuj-prod-helm-eks,cuj-prod-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eks,prod,helm,java17
cuj-eu1-helm-eks-java8,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,90a67af7-6c17-4958-8d2a-d61e54fba974,cuj-eu1-helm-eks,cuj-eu1-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,eks,eu1,helm,java8
cuj-eu1-helm-eks-java17,runtime-fabric-automation,ffc8af83-01dc-471c-a753-d1dec578bb5e,8b04e5f4-b306-48d0-ae41-c050784fa331,sandbox,90a67af7-6c17-4958-8d2a-d61e54fba974,cuj-eu1-helm-eks,cuj-eu1-helm-eks.com,http,(/|$)(.*),a3f2bdc1580c14b829dc7ca778f4c901-572129391.us-east-2.elb.amazonaws.com,https://eu1.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,eks,eu1,helm,java17
cuj-stgx-ocp-java8,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,d66a684a-58b8-49e3-b8df-169c51257962,cuj-stgx-ocp,cuj-stgx-ocp.com,https,,20.253.144.59,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java8,4.6.2:5-java8,openshift,stgx,helm,java8
cuj-stgx-ocp-java17,runtime-fabric-automation,cd14ae17-813f-4256-ade7-e5a9ae791211,c07871d0-bfa6-4998-ac9f-a45fdc944a9c,sandbox,d66a684a-58b8-49e3-b8df-169c51257962,cuj-stgx-ocp,cuj-stgx-ocp.com,https,,20.253.144.59,https://stgx.anypoint.mulesoft.com,cuj-runtime,q3-runtime-mule-app,4.6.1:4-java17,4.6.2:5-java17,openshift,stgx,helm,java17
